time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
79839.636547	236.571381	0.740765	0.267849	165
79842.416116	237.620209	0.745683	0.264739	167
79845.202195	237.877380	0.748780	0.261211	169
79848.000703	238.041733	0.749352	0.257211	171
79850.794671	237.243668	0.752680	0.253380	173
79853.608149	234.876617	0.757194	0.250971	175
79856.411720	232.703583	0.762644	0.250191	177
79859.208807	231.901184	0.771367	0.250161	179
79862.004679	232.232620	0.780251	0.249206	181
79864.789488	233.267410	0.784827	0.246540	183
79867.568270	234.609985	0.788640	0.243306	185
79870.352952	235.380005	0.792000	0.240230	187
79873.146956	235.254517	0.796990	0.237735	189
79875.943145	234.782715	0.801061	0.235240	191
79878.737884	234.816254	0.803052	0.232939	193
79881.528538	234.656464	0.808629	0.230920	195
79884.329892	233.687881	0.814371	0.229177	197
79887.133061	232.649490	0.818650	0.227320	199
79889.930386	231.992569	0.822573	0.225402	201
79892.730206	231.471588	0.828805	0.222767	203
79895.519257	231.504028	0.835276	0.219306	205
79898.300671	232.699463	0.841590	0.215568	207
79901.085442	233.535736	0.848810	0.213003	209
79903.873335	233.981842	0.849759	0.210934	211
79906.660641	234.438065	0.852016	0.209865	213
79909.453694	233.877365	0.856763	0.208751	215
79912.256221	233.348511	0.860638	0.207430	217
79915.052752	232.869659	0.865056	0.205746	219
79917.849657	232.529831	0.870694	0.203834	221
79920.648879	232.006668	0.876649	0.202236	223
79923.445035	231.606506	0.882960	0.200372	225
79926.237821	231.409882	0.887301	0.198338	227
79929.030871	231.347107	0.892309	0.196233	229
79931.823740	231.530121	0.896819	0.194246	231
79934.614948	231.709763	0.902628	0.192117	233
79937.400111	232.197433	0.904574	0.189856	235
79940.192790	232.907471	0.908629	0.187357	237
79942.980959	233.270630	0.912508	0.184852	239
79945.771330	233.441650	0.914301	0.181837	241
79948.563919	233.298569	0.917545	0.178293	243
79951.361393	232.893066	0.920964	0.174912	245
79954.159746	232.089706	0.924021	0.171953	247
79956.960810	230.841431	0.928855	0.169977	249
79959.761614	229.771347	0.933153	0.168915	251
79962.559564	229.181351	0.939540	0.168195	253
